doi,title,year,journal,first_author,publication_date,community_archive,aadr_archive,minotaur_archive,nr_adna_samples
10.1038/s41467-026-71457-1,Genetic genealogy of the Piast dynasty and related European royal families,2026,Nature Communications,Michal Zenczak,2026-04-09,False,False,False,17
10.1038/s41559-026-03027-z,Population discontinuity in the Paris Basin linked to evidence of the Neolithic decline,2026,Nature Ecology &amp; Evolution,Frederik V. Seersholm,2026-04-03,False,False,False,132
10.1038/s41467-026-70615-9,Analysis of medieval burials from Ibiza reveals genetic and pathogenic diversity during the Islamic period,2026,Nature Communications,Ricardo Rodríguez-Varela,2026-03-26,False,False,False,13
10.1038/s41586-026-10233-z,"Local agricultural transition, crisis and migration in the Southern Andes",2026,Nature,Ramiro Barberena,2026-03-18,False,False,False,46
10.1016/j.cub.2026.02.004,Ancient genomes provide insight into the Paleolithic-to-Neolithic transition in northern East Asia,2026,Current Biology,Ganyu Zhang,2026-03-04,False,False,False,3
10.1038/s41467-026-69895-y,"Reconstruction of the lifeways of Central European Late Bronze Age communities using ancient DNA, isotope and osteoarchaeological analyses",2026,Nature Communications,Eleftheria Orfanou,2026-02-24,False,False,False,69
10.1038/s41562-025-02399-9,A large mass grave from the Early Iron Age indicates selective violence towards women and children in the Carpathian Basin,2026,Nature Human Behaviour,Linda Fibiger,2026-02-23,False,False,False,25
10.1098/rspb.2025.0813,Genetic relatedness mattered in the co-burial ritual of Neolithic hunter–gatherers,2026,Proceedings of the Royal Society B: Biological Sciences,Tiina Maria Mattila,2026-02-18,False,False,False,10
10.1038/s41586-026-10111-8,Lasting Lower Rhine–Meuse forager ancestry shaped Bell Beaker expansion,2026,Nature,Iñigo Olalde,2026-02-11,False,False,False,112
10.1186/s13059-026-03968-5,Genetic affinities between the ancient Greek colony of Amvrakia and its metropolis,2026,Genome Biology,Nikolaos Psonis,2026-02-07,False,False,False,26
10.1186/s13059-026-03969-4,Cosmopolitanism in the depths of Barbaricum evidenced by archaeogenomic data from the Late Iron Age Goth community of the Masłomęcz group,2026,Genome Biology,Michał Golubiński,2026-01-28,False,False,False,37
10.1038/s41586-025-09856-5,An ancient DNA perspective on the Russian conquest of Yakutia,2026,Nature,Éric Crubézy,2026-01-07,False,False,False,105
10.1038/s41467-025-67906-y,Tracing social mechanisms and interregional connections in Early Bronze Age Societies in Lower Austria,2025,Nature Communications,Anja Furtwängler,2025-12-31,False,False,False,129
10.1016/j.jasrep.2025.105559,"Genetic and historical perspectives on the early medieval inhumations from the Menga dolmen, Antequera (Spain)",2026,Journal of Archaeological Science: Reports,Marina Silva,2025-12-24,False,False,False,1
10.1038/s42003-025-09194-2,Archaeogenetics reconstructs demography and extreme parental consanguinity in a Bronze Age community from Southern Italy,2025,Communications Biology,Francesco Fontani,2025-12-15,False,False,False,14
10.64898/2025.12.07.692553,"Ancestry, admixture, and pathogens in contemporaneous Neolithic farmers and foragers on the Island of Gotland",0,No Journal,Magdalena Fraser,2025-12-10,False,False,False,2
10.1038/s41586-025-09811-4,Homo sapiens-specific evolution unveiled by ancient southern African genomes,2026,Nature,Mattias Jakobsson,2025-12-03,False,False,False,28
10.1038/s41586-025-09799-x,Ancient DNA from Shimao city records kinship practices in Neolithic China,2025,Nature,Zehui Chen,2025-11-26,False,False,False,144
10.1016/j.jasrep.2025.105474,Ancient genomic evidence uncovers a 6th-century cross-border couple between South Asia and East Asia,2025,Journal of Archaeological Science: Reports,Panxin Du,2025-11-05,False,False,False,2
10.1038/s41586-025-09731-3,Eight millennia of continuity of a previously unknown lineage in Argentina,2026,Nature,Javier Maravall-López,2025-11-05,False,False,False,238
10.1101/2025.11.03.686206,"Genetic insights into Iron Age Saka culture: Ancient DNA analysis of the Boz-Barmak burial ground, Kyrgyzstan",0,No Journal,Aigerim Rymbekova,2025-11-04,False,False,False,9
10.1126/sciadv.adu9625,Dynamic human admixture histories over the past ~1300 years at the northern Himalayan frontier,2025,Science Advances,Esha Bandyopadhyay,2025-10-29,False,False,False,8
10.1038/s41598-025-21522-4,Genome of an early Okhotsk individual reveals ancient admixture between Jomon and Kamchatka lineages,2025,Scientific Reports,Takehiro Sato,2025-10-27,False,False,False,1
10.1016/j.fsigen.2025.103381,"Murder in cold blood? Forensic and bioarchaeological identification of the skeletal remains of Béla, Duke of Macsó (c. 1245–1272)",2026,Forensic Science International: Genetics,Tamás Hajdu,2025-10-26,False,False,False,1
10.1016/j.cub.2025.09.047,Paratyphoid fever and relapsing fever in 1812 Napoleon's devastated army,2025,Current Biology,Rémi Barbieri,2025-10-24,False,False,False,13
10.1016/j.cell.2025.09.002,Long shared haplotypes identify the southern Urals as a primary source for the 10th-century Hungarians,2025,Cell,Balázs Gyuris,2025-10-16,False,False,False,131
10.1371/journal.pone.0333440,"Multidisciplinary study of human remains from the 3rd century mass grave in the Roman city of Mursa, Croatia",2025,PLOS One,Mario Novak,2025-10-15,False,False,False,7
10.1126/sciadv.adw8219,Ancient genomes from eastern Kazakhstan reveal dynamic genetic legacy of Inner Eurasian hunter-gatherers,2025,Science Advances,Haechan Gill,2025-10-15,False,False,False,21
10.1038/s41467-025-63743-1,Ancient DNA reveals the population interactions and a Neolithic patrilineal community in Northern Yangtze Region,2025,Nature Communications,Tingyu Yang,2025-09-30,False,False,False,58
10.1038/s41467-025-63789-1,Slab Grave expansion disrupted long co-existence of distinct Bronze Age herders in central Mongolia,2025,Nature Communications,Juhyeon Lee,2025-09-25,False,False,False,30
10.1038/s41586-025-09437-6,Ancient DNA connects large-scale migration with the spread of Slavs,2025,Nature,Joscha Gretzinger,2025-09-03,True,False,False,555
10.1186/s13059-025-03700-9,Ancient genomes provide evidence of demographic shift to Slavic-associated groups in Moravia,2025,Genome Biology,Ilektra Schulz,2025-09-03,False,False,False,18
10.1038/s42003-025-08668-7,Genomic insights from a final Bronze Age community buried in a collective tumulus in an Urnfield settlement in Northeastern Iberia,2025,Communications Biology,Marina Bretos Ezcurra,2025-08-28,False,False,False,24
10.1126/sciadv.adq9976,Local increases in admixture with hunter-gatherers followed the initial expansion of Neolithic farmers across continental Europe,2025,Science Advances,Alexandros Tsoupas,2025-08-20,False,False,False,0
10.1016/j.cell.2025.07.013,"The genetic history of the Southern Caucasus from the Bronze Age to the Early Middle Ages: 5,000 years of genetic continuity despite high mobility",2025,Cell,Eirini Skourtanioti,2025-08-07,True,False,False,230
10.1093/gbe/evaf149,A New Perspective on the Arrival of the Eastern Mediterranean Genetic Influx in Central Italy Before the Onset of the Roman Empire,2025,Genome Biology and Evolution,Francesco Ravasini,2025-07-26,False,False,False,1
10.1126/sciadv.ads8179,Genetic history of Scythia,2025,Science Advances,Tatiana V. Andreeva,2025-07-23,False,False,False,131
10.1016/j.cub.2025.06.054,Bronze and Iron Age genomes reveal the integration of diverse ancestries in the Tarim Basin,2025,Current Biology,Fan Zhang,2025-07-17,False,False,False,24
10.1016/j.isci.2025.113086,Archaeogenetics reveals fine-scale genetic continuity and patterns of kinship and health in medieval Finland,2025,iScience,Ulla Nordfors,2025-07-15,False,False,False,21
10.1038/s41467-025-61601-8,Genomic diversity and structure of prehistoric alpine individuals from the Tyrolean Iceman’s territory,2025,Nature Communications,Myriam Croze,2025-07-11,False,False,False,47
10.1038/s41586-025-09195-5,Whole-genome ancestry of an Old Kingdom Egyptian,2025,Nature,Adeline Morez Jacobs,2025-07-02,False,False,False,1
10.1038/s41586-025-09189-3,Ancient DNA reveals the prehistory of the Uralic and Yeniseian peoples,2025,Nature,Tian Chen Zeng,2025-07-02,False,False,False,195
10.1126/science.adr2915,Female lineages and changing kinship patterns in Neolithic Çatalhöyük,2025,Science,Eren Yüncü,2025-06-26,True,False,False,131
10.1126/science.adr3326,Out-of-Anatolia: Cultural and genetic interactions during the Neolithic expansion in the Aegean,2025,Science,Dilek Koptekin,2025-06-26,False,False,False,30
10.1016/j.isci.2025.112871,"Genetic transitions in the Neolithic and Bronze Age at Mas d’en Boixos (Catalonia, Spain)",2025,iScience,Xavier Roca-Rada,2025-06-11,False,False,False,8
10.1038/s41586-025-09103-x,Ancient DNA reveals a two-clanned matrilineal community in Neolithic China,2025,Nature,Jincheng Wang,2025-06-04,False,False,False,60
10.1186/s13059-025-03580-z,Urbanization and genetic homogenization in the medieval Low Countries revealed through a ten-century paleogenomic study of the city of Sint-Truiden,2025,Genome Biology,Owyn Beneker,2025-05-19,False,False,False,338
10.1038/s41586-025-08793-7,Ancient DNA from the Green Sahara reveals ancestral North African lineage,2025,Nature,Nada Salem,2025-04-04,False,False,False,2
10.1038/s41586-024-08418-5,Ancient DNA reveals reproductive barrier despite shared Avar-period culture,2025,Nature,Ke Wang,2025-01-15,True,False,False,722
10.1038/s41586-024-08409-6,Continental influx and pervasive matrilocality in Iron Age Britain,2025,Nature,Lara M. Cassidy,2025-01-15,False,False,False,57
10.1126/sciadv.adr0695,North Pontic crossroads: Mobility in Ukraine from the Bronze Age to the early modern period,2025,Science Advances,Lehti Saag,2025-01-08,True,False,False,91
10.1038/s41562-024-02034-z,Social and genetic diversity in first farmers of central Europe,2024,Nature Human Behaviour,Pere Gelabert,2024-11-29,False,True,False,250
10.1186/s13059-024-03430-4,The genomic portrait of the Picene culture provides new insights into the Italic Iron Age and the legacy of the Roman Empire in Central Italy,2024,Genome Biology,Francesco Ravasini,2024-11-20,True,False,False,102
10.1101/2024.05.29.596386,Ancient genomes reveal Avar-Hungarian transformations in the 9th-10th centuries CE Carpathian Basin,2024,bioRxiv,Dániel Gerber,2024-10-28,False,True,False,1
10.1126/sciadv.adp8625,"Five centuries of consanguinity, isolation, health, and conflict in Las Gobas: A Northern Medieval Iberian necropolis",2024,Science Advances,Ricardo Rodríguez-Varela,2024-08-28,False,False,False,33
10.1038/s41586-024-07651-2,Repeated plague infections across six generations of Neolithic Farmers,2024,Nature,Frederik Valeur Seersholm,2024-07-10,False,True,False,239
10.21203/rs.3.rs-1993191/v1,First ancient DNA analysis of mummies from the post-Scythian Oglakhty cemetery in South Siberia,2022,Research Square,Artem Nedoluzhko,2022-08-29,False,True,False,1
10.1101/2022.06.12.495320,"Technical Report on Ancient DNA analysis of 27 African Americans from Catoctin Furnace, Maryland",2022,bioRxiv,Éadaoin Harney,2022-06-15,False,True,False,25
10.1016/j.cell.2022.03.007,Ancient genomes reveal origin and rapid trans-Eurasian migration of 7th century Avar elites,2022,Cell,Guido Alberto Gnecchi-Ruscone,2022-04-01,False,True,False,66
10.1016/j.cell.2021.04.040,The deep population history of northern East Asia from the Late Pleistocene to the Holocene,2021,Cell,Xiaowei Mao,2021-05-27,True,True,False,25
10.1016/j.cell.2021.03.039,The genomic history of the Aegean palatial civilizations,2021,Cell,Florian Clemente,2021-04-29,True,True,False,6
10.1016/j.cell.2021.02.040,Archaeogenomic distinctiveness of the Isthmo-Colombian area,2021,Cell,Marco Rosario Capodiferro,2021-03-23,True,True,False,16
10.1038/s42003-020-01627-4,Genome-wide study of a Neolithic Wartberg grave community reveals distinct HLA variation and hunter-gatherer ancestry,2021,Communications Biology,Alexander Immel,2021-01-25,False,True,False,40
10.1002/ajpa.23312,Testing support for the northern and southern dispersal routes out of Africa: an analysis of Levantine and southern Arabian populations,2017,American Journal of Physical Anthropology,Deven N. Vyas,2017-09-15,True,True,False,0
10.1038/nature04072,Initial sequence of the chimpanzee genome and comparison with the human genome,2005,Nature,Chimpanzee Sequencing and Analysis Consortium,2005-09-01,True,False,False,0
10.1186/s13059-025-03707-2,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,67
10.1038/s41559-022-01952-3,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,103
10.1038/s41467-025-60368-2,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,125
10.1038/s41598-025-99743-w,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,20
10.1016/j.cell.2025.05.009,No Title Available,0,No Journal,N/A,0000-00-00,False,False,True,156
10.1038/s41559-025-02710-x,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,27
10.1126/science.adk5081,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,0
10.1186/s13059-025-03570-1,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,12
10.1038/s41467-025-56555-w,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,85
10.1186/s12915-024-02068-9,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,7
10.1038/s41467-024-51150-x,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,1
