doi,nr_adna_samples
10.1186/s13059-025-03700-9,18
10.1371/journal.pone.0333440,7
10.1126/sciadv.adw8219,21
10.1038/s41467-025-63789-1,30
10.1038/s41467-025-63743-1,58
10.1038/s42003-025-08668-7,24
10.1016/j.isci.2025.113086,21
10.1016/j.cub.2025.06.054,24
10.1126/sciadv.ads8179,131
10.1093/gbe/evaf149,1
10.1016/j.cell.2025.07.013,230
10.1038/s41586-025-09195-5,1
10.1016/j.isci.2025.112871,8
10.1038/s41586-025-09189-3,195
10.1038/s41467-025-61601-8,47
10.1126/sciadv.adq9976,0
10.1186/s13059-025-03707-2,67
10.1016/j.cell.2022.03.007,66
10.1038/s41559-022-01952-3,103
10.1126/science.adr2915,131
10.1126/science.adr3326,30
10.1038/s41467-025-60368-2,125
10.1038/s41598-025-99743-w,20
10.1016/j.cell.2025.05.009,156
10.1038/s41586-025-09103-x,60
10.1038/s41559-025-02710-x,27
10.1186/s13059-025-03580-z,338
10.1126/science.adk5081,0
10.1126/sciadv.adr0695,91
10.1186/s13059-025-03570-1,12
10.1038/s41467-025-56555-w,85
10.1038/s41586-024-08418-5,722
10.1038/s41586-024-08409-6,57
10.1038/s41586-024-07651-2,239
10.1038/s42003-020-01627-4,40
10.1038/s41562-024-02034-z,250
10.1186/s12915-024-02068-9,7
10.1186/s13059-024-03430-4,102
10.1038/s41467-024-51150-x,1
10.1016/j.cub.2024.07.063,69
10.1038/s41586-024-07881-4,15
10.1016/j.xgen.2024.100593,1
10.1126/sciadv.adp8625,33
10.1038/s41586-025-08793-7,2
10.1038/s41586-025-08913-3,210
10.1038/s41586-024-08531-5,354
10.1002/ajpa.23312,0
10.1002/ajpa.24079,34
10.1016/j.ajhg.2017.06.013,5
10.1016/j.ajhg.2020.05.008,19
10.1016/j.cell.2017.08.049,25
10.1016/j.cell.2020.10.015,194
10.1016/j.cell.2021.02.040,16
10.1016/j.cell.2021.03.039,6
10.1016/j.cell.2021.04.040,25
10.1016/j.cub.2014.09.078,2
10.1016/j.cub.2015.12.019,2
10.1016/j.cub.2016.07.057,9
10.1016/j.cub.2016.12.060,8
10.1016/j.cub.2017.05.023,6
10.1016/j.cub.2017.06.022,7
10.1016/j.cub.2017.09.030,1
10.1016/j.cub.2017.09.059,5
10.1016/j.cub.2018.02.051,22
10.1016/j.cub.2018.06.053,23
10.1016/j.cub.2020.04.002,3
10.1016/j.cub.2020.08.033,19
10.1016/j.cub.2020.12.015,25
10.1016/j.cub.2021.03.050,21
10.1016/j.cub.2021.03.078,1
10.1016/j.cub.2021.04.045,2
10.1038/jhg.2016.110,5
10.1038/nature04072,0
10.1038/nature08835,1
10.1038/nature12736,2
10.1038/nature12886,1
10.1038/nature12960,1
10.1038/nature13025,1
10.1038/nature13673,3
10.1038/nature13810,1
10.1038/nature14507,98
10.1038/nature14558,1
10.1038/nature14625,1
10.1038/nature15393,0
10.1038/nature16152,142
10.1038/nature17993,40
10.1038/nature19310,41
10.1038/nature19844,4
10.1038/nature23310,20
10.1038/nature24476,138
10.1038/nature25173,2
10.1038/nature25738,398
10.1038/nature25778,226
10.1038/nature26151,6
10.1038/ncomms10326,9
10.1038/ncomms10408,10
10.1038/ncomms14115,5
10.1038/ncomms14615,8
10.1038/ncomms1701,1
10.1038/ncomms2140,0
10.1038/ncomms6257,13
10.1038/ncomms9912,3
10.1038/ng.3621,0
10.1038/s41467-018-05649-9,22
10.1038/s41467-018-06024-4,63
10.1038/s41467-020-14523-6,70
10.1038/s41467-023-44328-2,33
10.1038/s41559-018-0498-2,19
10.1038/s41559-019-0871-9,70
10.1038/s41559-019-0878-2,2
10.1038/s41559-020-1102-0,62
10.1038/s41586-018-0094-2,137
10.1038/s41586-018-0455-x,1
10.1038/s41586-019-1251-y,49
10.1038/s41586-020-03053-2,174
10.1038/s41586-020-1929-1,7
10.1038/s41586-020-2688-8,442
10.1038/s41586-021-03336-2,191
10.1038/s41586-021-03823-6,1
10.1038/s41586-022-05247-2,487
10.1038/s41586-023-06334-8,119
10.1038/s41598-018-33067-w,17
10.1038/s41598-021-89090-x,24
10.1038/s42003-020-01372-8,3
10.1073/pnas.1509851112,5
10.1073/pnas.1518445113,4
10.1073/pnas.1520844113,8
10.1073/pnas.1523951113,5
10.1073/pnas.1620410114,1
10.1073/pnas.1715688115,4
10.1073/pnas.1716839115,1
10.1073/pnas.1717762115,11
10.1073/pnas.1719880115,41
10.1073/pnas.1800851115,12
10.1073/pnas.2004944117,1
10.1073/pnas.2022112118,2
10.1073/pnas.2026132118,2
10.1080/00758914.2017.1368204,2
10.1093/molbev/msv181,1
10.1093/molbev/msz267,2
10.1101/gr.267534.120,16
10.1126/sciadv.aat4457,35
